"date","title","article_link","author","author_link","comments","comments_link"
"2020-09-29T21:24:36","Dell announces new XPS 13 and XPS 13 2-in-1 with Tiger Lake processors","https://www.theverge.com/2020/9/28/21456034/dell-xps-13-2in1-2020-features-price-release-date","Monica Chin","https://www.theverge.com/authors/monica-chin","33","https://www.theverge.com/2020/9/28/21456034/dell-xps-13-2in1-2020-features-price-release-date#comments"
"2020-11-06T16:22:02","How to switch an old Windows laptop to Linux","https://www.theverge.com/21550815/windows-microsoft-linux-mint-laptop-how-to-switch","Steven Vaughan-Nichols","https://www.theverge.com/users/Steven%20J%20Vaughan-Nichols","",""
"2016-02-23T10:48:23","The most powerful Ubuntu phone is still not good enough","https://www.theverge.com/2016/2/23/11097126/meizu-pro-5-ubuntu-edition-specs-price-release-date-mwc-2016","Vlad Savov","https://www.theverge.com/authors/vlad-savov","27","https://www.theverge.com/2016/2/23/11097126/meizu-pro-5-ubuntu-edition-specs-price-release-date-mwc-2016#comments"
"2015-02-06T14:30:03","The Ubuntu phone is real and going on sale next week","https://www.theverge.com/2015/2/6/7991137/ubuntu-phone-specs-release-date-price","Vlad Savov","https://www.theverge.com/authors/vlad-savov","93","https://www.theverge.com/2015/2/6/7991137/ubuntu-phone-specs-release-date-price#comments"
"2013-02-07T04:27:38","Ubuntu Touch: a Linux OS breaks onto smartphones and tablets","https://www.theverge.com/2013/2/6/3962320/ubuntu-for-mobile","","","",""
"2017-11-16T17:25:03","How to set up a Pixelbook for programming","https://www.theverge.com/2017/11/16/16656420/google-pixelbook-chromebook-development-linux-crouton-how-to","Paul Miller","https://www.theverge.com/users/futurepaul","74","https://www.theverge.com/2017/11/16/16656420/google-pixelbook-chromebook-development-linux-crouton-how-to#comments"
"2013-07-22T15:17:44","Can the internet raise $32 million to build the Ubuntu Edge smartphone?","https://www.theverge.com/2013/7/22/4545256/canonical-ubuntu-edge-crowdfunding-launch-pictures","Aaron Souppouris","https://www.theverge.com/users/Aaron%20Souppouris","351","https://www.theverge.com/2013/7/22/4545256/canonical-ubuntu-edge-crowdfunding-launch-pictures#comments"
"2012-01-05T08:16:05","Canonical unveiling 'exclusive Ubuntu concept design' at CES","https://www.theverge.com/2012/1/5/2682898/canonical-ubuntu-linux-ces-exclusive-concept-design","Adi Robertson","https://www.theverge.com/authors/adi-robertson","29","https://www.theverge.com/2012/1/5/2682898/canonical-ubuntu-linux-ces-exclusive-concept-design#comments"
"2012-01-08T02:00:08","Ubuntu bringing smart TV concept, more 'consumer' products to CES 2012","https://www.theverge.com/2012/1/7/2690671/ubuntu-smart-tv-concept-consumer-products-ces","Paul Miller","https://www.theverge.com/users/futurepaul","31","https://www.theverge.com/2012/1/7/2690671/ubuntu-smart-tv-concept-consumer-products-ces#comments"
"2012-02-21T17:01:09","Ubuntu for Android hands-on: a full Linux operating system when you dock your smartphone","https://www.theverge.com/2012/2/21/2812424/ubuntu-for-android-hands-on","JamieKeene","https://www.theverge.com/users/JamieKeene","99","https://www.theverge.com/2012/2/21/2812424/ubuntu-for-android-hands-on#comments"
"2013-02-19T16:00:07","Ubuntu Touch Preview coming to Nexus tablets this Thursday with Windows 8-like multitasking","https://www.theverge.com/2013/2/19/4004336/ubuntu-touch-developer-preview-download-nexus-tablets","Aaron Souppouris","https://www.theverge.com/users/Aaron%20Souppouris","221","https://www.theverge.com/2013/2/19/4004336/ubuntu-touch-developer-preview-download-nexus-tablets#comments"
"2013-09-19T17:58:59","Ubuntu's smartphone OS will be ready to launch on October 17th","https://www.theverge.com/2013/9/19/4748908/ubuntus-smartphone-os-will-be-ready-to-launch-on-october-17th","Nathan Ingraham","https://www.theverge.com/users/NathanIngraham","27","https://www.theverge.com/2013/9/19/4748908/ubuntus-smartphone-os-will-be-ready-to-launch-on-october-17th#comments"
"2014-02-19T17:20:58","First Ubuntu smartphones launching this year","https://www.theverge.com/2014/2/19/5426038/ubuntu-smartphone-meizu-bq-coming-2014","Jacob Kastrenakes","https://www.theverge.com/authors/jacob-kastrenakes","68","https://www.theverge.com/2014/2/19/5426038/ubuntu-smartphone-meizu-bq-coming-2014#comments"
"2013-07-22T13:48:29","Ubuntu Edge phone emerges ahead of 'groundbreaking' Canonical event (update)","https://www.theverge.com/2013/7/22/4544888/ubuntu-edge-smartphone-canonical","m4tt","https://www.theverge.com/users/m4tt","129","https://www.theverge.com/2013/7/22/4544888/ubuntu-edge-smartphone-canonical#comments"
"2017-07-10T19:20:14","Ubuntu is now available for download on the Windows Store","https://www.theverge.com/2017/7/10/15949096/ubuntu-windows-10-store-linux-distro-sandbox-available-now","Chaim Gartenberg","https://www.theverge.com/authors/chaim-gartenberg","34","https://www.theverge.com/2017/7/10/15949096/ubuntu-windows-10-store-linux-distro-sandbox-available-now#comments"
"2016-04-26T13:56:39","You can buy the Meizu Pro 5 Ubuntu Edition today","https://www.theverge.com/2016/4/26/11509764/meizu-pro-5-ubuntu-edition-available-today","Micah Singleton","https://www.theverge.com/authors/micah-singleton","8","https://www.theverge.com/2016/4/26/11509764/meizu-pro-5-ubuntu-edition-available-today#comments"
"2017-04-05T20:29:29","Ubuntu abandons its phone efforts, will switch back to GNOME","https://www.theverge.com/circuitbreaker/2017/4/5/15198178/ubuntu-abandons-phone-moves-back-to-gnome","Paul Miller","https://www.theverge.com/users/futurepaul","22","https://www.theverge.com/circuitbreaker/2017/4/5/15198178/ubuntu-abandons-phone-moves-back-to-gnome#comments"
"2012-01-09T06:07:21","Ubuntu TV has Unity-inspired UI, will ship on televisions by end of 2012","https://www.theverge.com/2012/1/9/2693228/ubuntu-tv-has-unity-inspired-ui-will-ship-on-televisions-by-end-of","Paul Miller","https://www.theverge.com/users/futurepaul","58","https://www.theverge.com/2012/1/9/2693228/ubuntu-tv-has-unity-inspired-ui-will-ship-on-televisions-by-end-of#comments"
"2012-01-11T00:58:08","Interview with Ubuntu TV's Pete Goodall","https://www.theverge.com/2012/1/10/2697982/interview-ubuntu-tv-pete-goodall","Paul Miller","https://www.theverge.com/users/futurepaul","22","https://www.theverge.com/2012/1/10/2697982/interview-ubuntu-tv-pete-goodall#comments"
"2013-01-01T09:25:52","Ubuntu touch-based OS teased for January 2nd","https://www.theverge.com/2013/1/1/3824006/ubuntu-touch-os-teaser-announcement","Ben Kersey","https://www.theverge.com/users/Ben%20Kersey","109","https://www.theverge.com/2013/1/1/3824006/ubuntu-touch-os-teaser-announcement#comments"
